year,month,product,location,type,price_then,price_now
2026,June,Nizana,Uganda,Singles,2051.72,1465.52
2026,June,Zane Man,Uganda,Singles,2051.72,1465.52
2026,June,satchel,Uganda,Singles,3862.07,3000.0
2026,March,Aria Sling,Sinza,Special Offers,1700.0,1300.0
2026,March,Aurora,Sinza,Singles,2200.0,1800.0
2026,March,Avana HB,Sinza,Singles,2200.0,1800.0
2026,March,Belt Bag,Sinza,Singles,1500.0,1100.0
2026,March,Bonita,Sinza,Special Offers,4000.0,3600.0
2026,March,Butterfly Sling,Sinza,Singles,1700.0,1300.0
2026,March,Cairo BP,Sinza,Special Offers,2200.0,1800.0
2026,March,Claire Handbag,Sinza,Singles,3100.0,2700.0
2026,March,Code 3,Sinza,Special Offers,2200.0,1800.0
2026,March,Feroz,Sinza,Special Offers,3200.0,2800.0
2026,March,Kate,Sinza,Singles,1700.0,1300.0
2026,March,Liam,Sinza,Special Offers,2200.0,1800.0
2026,March,Man Bag,Sinza,Special Offers,1700.0,1300.0
2026,March,Monah BP,Sinza,Singles,2100.0,1700.0
2026,March,Moon Bag,Sinza,Singles,1700.0,1300.0
2026,March,Nizana,Sinza,Singles,1700.0,1300.0
2026,March,Remi,Sinza,Special Offers,2800.0,2400.0
2026,March,Trecento,Sinza,Singles,2200.0,1800.0
2026,March,Zane Man,Sinza,Special Offers,1700.0,1300.0
2026,March,Zoezi,Sinza,Special Offers,3700.0,3300.0
2026,May,Aria Sling,Sinza,Singles,1700.0,1300.0
2026,May,Aurora,Sinza,Special Offers,2200.0,1800.0
2026,May,Avana HB,Sinza,Special Offers,2200.0,1800.0
2026,May,Belt Bag,Sinza,Singles,1500.0,1100.0
2026,May,Brief Case,Sinza,Special Offers,2900.0,2500.0
2026,May,Cairo BP,Sinza,Special Offers,2100.0,1700.0
2026,May,Code 3,Sinza,Singles,2200.0,1800.0
2026,May,Fabela,Sinza,Singles,2500.0,2100.0
2026,May,Fanny Pack,Sinza,Singles,1700.0,1300.0
2026,May,Feroz,Sinza,Singles,3200.0,2800.0
2026,May,Jamela,Sinza,Singles,3700.0,3300.0
2026,May,Jumbo,Sinza,Singles,3700.0,3300.0
2026,May,Kate,Sinza,Special Offers,1700.0,1300.0
2026,May,Mega,Sinza,Special Offers,3100.0,2700.0
2026,May,Mini Zuri,Sinza,Special Offers,2700.0,2300.0
2026,May,Nizana,Sinza,Singles,1700.0,1300.0
2026,May,Reo Travel,Sinza,Special Offers,2900.0,2500.0
2026,May,Sleeve 2,Sinza,Special Offers,1700.0,1000.0
2026,May,Splash Backpack,Sinza,Special Offers,2200.0,1600.0
2026,May,Zane Man,Sinza,Singles,1700.0,1300.0
